Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[13]     1.1    0.06    0.33  857155         atomic [13]
                0.18    0.00 19999991/20000290     freeobj [15]
                0.05    0.03 19999991/20000430     luaM_free_ [20]
                0.04    0.01  285781/285781      propagatemark [24]
                0.01    0.00  142860/142860      luaS_clearcache [43]
                0.01    0.00  142860/142861      separatetobefnz [42]
                0.00    0.00  142860/142861      markmt [144]
                0.00    0.00       1/21          luaH_free [128]
                0.00    0.00  571440/571441      clearbyvalues [186]
                0.00    0.00  285720/285720      convergeephemerons [189]
                0.00    0.00  285720/285720      clearbykeys [188]
                0.00    0.00  142860/142861      markbeingfnz [191]
-----------------------------------------------
                0.21    0.00 35000103/35000103     luaV_execute <cycle 1> [2]
[14]     0.6    0.21    0.00 35000103         luaT_getvarargs [14]
-----------------------------------------------
                0.00    0.00       3/20000290     sweep2old [139]
                0.00    0.00     296/20000290     luaC_freeallobjects [4]
                0.18    0.00 19999991/20000290     atomic [13]
[15]     0.5    0.18    0.00 20000290         freeobj [15]
                0.00    0.00     236/236         luaS_remove [195]
-----------------------------------------------
                0.06    0.05 10000001/10000001     luaV_execute <cycle 1> [2]
[16]     0.3    0.06    0.05 10000001         luaF_findupval [16]
                0.02    0.03 10000001/20000290     luaC_newobjdt [18]
                0.01    0.00 10000001/20000290     luaC_newobj [38]
-----------------------------------------------
                                                 <spontaneous>
[17]     0.3    0.10    0.00                 unroll [17]
-----------------------------------------------
                0.00    0.00       1/20000290     luaF_initupvals [54]
                0.00    0.00       4/20000290     luaS_newudata [153]
                0.00    0.00       6/20000290     luaF_newproto [147]
                0.00    0.00       7/20000290     luaF_newCclosure [146]
                0.00    0.00       8/20000290     luaS_createlngstrobj [142]
                0.00    0.00      21/20000290     luaH_new [131]
                0.00    0.00     236/20000290     internshrstr [119]
                0.02    0.03 10000001/20000290     luaF_findupval [16]
                0.02    0.03 10000006/20000290     luaF_newLclosure [25]
[18]     0.2    0.03    0.06 20000290         luaC_newobjdt [18]
                0.03    0.03 20000290/20000364     luaM_malloc_ [21]
-----------------------------------------------
                0.08    0.00 25000004/25000004     luaV_execute <cycle 1> [2]
[19]     0.2    0.08    0.00 25000004         luaV_tointeger [19]
-----------------------------------------------
                0.00    0.00       2/20000430     close_state [3]
                0.00    0.00       3/20000430     luaD_protectedparser <cycle 1> [154]
                0.00    0.00       3/20000430     sweep2old [139]
                0.00    0.00      21/20000430     luaH_resize <cycle 4> [50]
                0.00    0.00      33/20000430     luaE_freeCI [130]
                0.00    0.00      39/20000430     luaH_free [128]
                0.00    0.00      42/20000430     luaF_freeproto [127]
                0.00    0.00     296/20000430     luaC_freeallobjects [4]
                0.05    0.03 19999991/20000430     atomic [13]
[20]     0.2    0.05    0.03 20000430         luaM_free_ [20]
